#CODE;ENGLISH;;;;;;;;;x 
ACQUISITION_CLAIM;Conquered as a Claimant;;;;;;;;;x 
EVTDESC_WOL_56_CR;To [Root.GetTitledFirstName]. I know what you and your [GetFromFromRelation] are doing, you [GetFromRootInsult]. While you both sicken me, I am in dire need of funds would be willing to forget in return for a small donation.\n\n[From.GetBestName];;;;;;;;;x 
EVTDESC_WOL_56_HOMO;To [Root.GetTitledFirstName]. I've seen what you and my [GetFromVsFromFromRelation] are doing to each other, you [GetFromRootInsult]. Abomination! Yet, I am a kind [From.GetManWoman] and would be willing to forget in return for a small donation.\n\n[From.GetBestName];;;;;;;;;x 
EVTOPTA_WOL_56;The [GetRootFromInsult]! I'll pay...;;;;;;;;;x 
EVTOPTB_WOL_56;I'd rather suffer the scandal!;;;;;;;;;x 
EVTTOOLTIP_WoL_57;The money is sent to [This.GetBestName];;;;;;;;;x 
EVTDESC_WOL_57;To the [GetFromRootInsult] [Root.GetFirstName]. Here, take my money. If you do not keep quiet, I will do things to you that you cannot even begin to imagine!\n\n[From.GetFirstName];;;;;;;;;x 
EVTOPTA_WOL_57;Snooping can be so rewarding!;;;;;;;;;x 
EVTDESC_WOL_59;To the [GetFromFromRootInsult] [Root.GetFirstName]. Is this some kind of sick jest? [From.GetFirstName]'s virtue is immaculate! Do what you will, no one will believe your lies anyway.\n\n[FromFrom.GetFirstName];;;;;;;;;x 
EVTOPTA_WOL_59;Very well. I will enjoy this!;;;;;;;;;x 
EVTOPTB_WOL_59;It was worth a try, but I'm not that cruel.;;;;;;;;;x 
EVTTITLE_WOL_60;Adulterous Scandal;;;;;;;;;x 
EVTDESC_WOL_60;[From.GetBestName] has been telling everyone that [From.GetSubjectPronoun] saw me and [FromFrom.GetFirstName] making love. The scandal is a fact.;;;;;;;;;x 
EVTOPTA_WOL_60_F;Poor [FromFrom.GetFirstName]. I didn't mean to hurt [FromFrom.GetObjectPronoun].;;;;;;;;;x 
EVTOPTA_WOL_60_M;Ah well. It is the Middle Ages!;;;;;;;;;x 
EVTDESC_WOL_61;[FromFrom.GetBestName] has been telling everyone that [FromFrom.GetSubjecPronoun] saw me and [From.GetFirstName] making love. The scandal is a fact.;;;;;;;;;x 
EVTOPTA_WOL_61_F;I am ruined!;;;;;;;;;x 
EVTDESC_WOL_62;[FromFrom.GetBestName] has exposed an affair between my [GetFromRelation] [From.GetFirstName] and [FromFromFrom.GetTitledName]!;;;;;;;;;x 
EVTOPTA_WOL_62;My heart is broken!;;;;;;;;;x 
EVTOPTA_WOL_62_CR;[From.GetSubjectPronounCap] cheated with [From.GetPossPronoun] own [GetFromVsFromFromFromRelation]!?;;;;;;;;;x 
EVTDESC_WOL_63;[FromFromFrom.GetBestName] has exposed an affair between my [GetFromRelation] [From.GetFirstName] and [FromFrom.GetTitledName]!;;;;;;;;;x 
EVTOPTA_WOL_63_CR;[From.GetSubjectPronounCap] cheated with [From.GetPossPronoun] own [GetFromVsFromFromRelation]!?;;;;;;;;;x 
EVTDESC_WOL_81_F;It isn't easy bedding every man who catches my fancy. Jealous wives, watchful mothers, meddling courtiers, unwanted pregnancies - it takes skill to navigate such treacherous waters!;;;;;;;;;x 
EVTDESC_WOL_81_M;Chasing skirts can be a dangerous business. Jealous husbands, watchful parents, eavesdropping maids... little bastards. By [Root.Religion.GetRandomGodName], it's a wonder I'm still alive!;;;;;;;;;x 
EVTDESC_WOL_81_HOMO;In this benighted age, pursuing other [Root.GetMenWomen] is fraught with danger. Yet, the risk of scandal makes it all the more exciting. Besides, there's no risk of unwanted pregnancies!;;;;;;;;;x 
EVTOPTA_WOL_81;I've learned a thing or two about Intrigue!;;;;;;;;;x 
EVTDESC_WOL_99;My confidence is a mountain, my charm irresistible, my exploits legendary. I am [Root.GetFirstName] - temptation incarnate.;;;;;;;;;x 
EVTOPTA_WOL_99;Move over Cleopatra!;;;;;;;;;x 
EVTOPTA_WOL_99_PERS;Move over Scheherazade!;;;;;;;;;x 
EVTOPTB_WOL_99;I can hardly resist myself!;;;;;;;;;x 
EVTOPTC_WOL_99;But... there are so many sins to explore!;;;;;;;;;x 
EVTOPTD_WOL_99;Naturally, but I won't let vices define me.;;;;;;;;;x 
EVTTITLE_WOL_100;The Chase Begins!;;;;;;;;;x 
EVTDESC_WOL_100;I shall bring all my seduction skills to bear on [From.GetTitledFirstName] until I have [From.GetObjectPronoun] wrapped around my finger!;;;;;;;;;x 
EVTOPTA_WOL_100;[From.GetSubjectPronounCap] will be mine!;;;;;;;;;x 
EVTDESC_WOL_101;I have set my sights on [From.GetTitledFirstName], but the age difference could cause a bit of a scandal if the court gossips take notice of my efforts...;;;;;;;;;x 
EVTOPTA_WOL_101;But I love wrinkles!;;;;;;;;;x 
EVTOPTB_WOL_101;But [From.GetSubjectPronoun]'s such a little morsel!;;;;;;;;;x 
EVTOPTC_WOL_101;I should seek other quarry...;;;;;;;;;x 
EVTTITLE_WOL_102;A Game for the Whole Family;;;;;;;;;x 
EVTDESC_WOL_102;I have decided to seduce my own [GetFromRelation] [From.GetFirstName]. The sheer taboo of it is thrilling, but the scandal... by [Root.Religion.GetRandomGodName], the scandal would be epic.;;;;;;;;;x 
EVTOPTA_WOL_102;The risk makes it even more exciting!;;;;;;;;;x 
EVTOPTB_WOL_102;On second thought, I'm no deviant.;;;;;;;;;x 
EVTDESC_WOL_103;The idea of seducing [From.GetTitledFirstName] - a [From.GetManWoman] of the cloth - is so exciting! Yet, I am definitely risking a scandal here...;;;;;;;;;x 
EVTOPTA_WOL_103;It will be worth it!;;;;;;;;;x 
EVTOPTB_WOL_103;No, I fear [Root.Religion.GetRandomGodName] too much.;;;;;;;;;x 
EVTDESC_WOL_104;Society may take a dim view on my preferences, but at the risk of a scandal I am about to seduce [From.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA_WOL_104;With pride!;;;;;;;;;x 
EVTOPTB_WOL_104;It just isn't worth the risk.;;;;;;;;;x 
EVTTOOLTIP_WoL_110;I start planning my next move;;;;;;;;;x 
EVTDESC_WOL_111;The target of my seduction, [FromFromFrom.GetTitledFirstName], has tragically passed away!;;;;;;;;;x 
EVTOPTA_WOL_111;Well, there are more fish in the sea!;;;;;;;;;x 
EVTDESC_WOL_112;My seduction of [FromFromFrom.GetTitledFirstName] has come to an unexpected end, as [FromFromFrom.GetSubjectPronoun] has ended up in prison!;;;;;;;;;x 
EVTOPTA_WOL_112;I shall have get my thrills elsewhere;;;;;;;;;x 
EVTDESC_WOL_113;[FromFromFrom.GetTitledFirstName], the target of my amorous attentions, has tragically fallen comatose and is now entirely incapable of appreciating my efforts.;;;;;;;;;x 
EVTOPTA_WOL_113;Seducing a vegetable is no challenge!;;;;;;;;;x 
EVTTITLE_WOL_200;A Love Letter;;;;;;;;;x 
EVTDESC_WOL_200;Today I found a scented letter lying on my pillow. It appears [From.GetTitledFirstName] is quite smitten with me!;;;;;;;;;x 
EVTDESC_WOL_200_CR;Today I found a scented letter lying on my pillow... I don't quite know how to react - it appears my own [GetFromRelation] [From.GetFirstName] is quite smitten with me!;;;;;;;;;x 
EVTOPTA_WOL_200;Oh, how romantic!;;;;;;;;;x 
EVTOPTB_WOL_200;How delightfully perverted!;;;;;;;;;x 
EVTOPTC_WOL_200;What foolishness!;;;;;;;;;x 
EVTOPTD_WOL_200;Fool. I am a married [Root.GetManWoman]!;;;;;;;;;x 
EVTOPTE_WOL_200;I am offended!;;;;;;;;;x 
EVTOPTF_WOL_200;What a sick deviant!;;;;;;;;;x 
EVTTOOLTIP_WoL_201;Encourage this...;;;;;;;;;x 
EVTTOOLTIP_WoL_202;My silence will dissuade [This.GetObjectPronoun].;;;;;;;;;x 
EVTTOOLTIP_WoL_203;Strongly discourage [This.GetObjectPronoun]!;;;;;;;;;x 
EVTTITLE_WOL_201;Letters of Love;;;;;;;;;x 
EVTDESC_WOL_201;I arranged for a scented love letter to be left on [From.GetFirstName]'s pillow in an attempt to woo [From.GetObjectPronoun]... and it seems to have struck true, for [From.GetSubjectPronoun] has left one on mine, confessing [From.GetPossPronoun] attraction to me!;;;;;;;;;x 
EVTOPTA_WOL_201;Oho! Time to up the ante?;;;;;;;;;x 
EVTOPTB_WOL_201;Great, but I no longer desire [From.GetObjectPronoun];;;;;;;;;x 
WOL_SEDUCE_END_TOOLTIP;The chase is ended\n;;;;;;;;;x 
EVTDESC_WOL_202;[From.GetFirstName] has not responded to the love letter I had left on [From.GetPossPronoun] pillow.;;;;;;;;;x 
#EVTOPTA_WOL_202;Silence is not a no!;;;;;;;;;x 
EVTOPTB_WOL_202;Time to give up;;;;;;;;;x 
EVTDESC_WOL_203;I arranged for a scented love letter to be left on [From.GetFirstName]'s pillow in an attempt to woo [From.GetObjectPronoun]... Today I found [From.GetPossPronoun] answering missive in the privy. It did not smell of roses.;;;;;;;;;x 
EVTOPTA_WOL_203;A temporary setback!;;;;;;;;;x 
EVTOPTB_WOL_203;Time to move on;;;;;;;;;x 
EVTTITLE_WOL_210;A Gift of Love;;;;;;;;;x 
EVTDESC_WOL_210;My bedroom is covered in wildflowers! And what's this? A beautiful necklace set with precious stones! There is a note here as well: 'From your humble admirer, [From.GetTitledFirstName], something to match your eyes'.;;;;;;;;;x 
EVTDESC_WOL_210_CR;My bedroom is covered in wildflowers! And what's this? A beautiful necklace set with precious stones! There is a note here as well: 'From your humble admirer, [From.GetFirstName], something to match your eyes'. Wait, what, surely not my [GetFromRelation] [From.GetFirstName]?!;;;;;;;;;x 
EVTDESC_WOL_210_M;A page brought me a beautifully wrapped gift today - a perfectly balanced blade with a gilded hilt. The accompanying note says it's a gift from an admiring [From.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC_WOL_210_CR_M;A page brought me a beautifully wrapped gift today - a perfectly balanced blade with a gilded hilt. The accompanying note says it's a gift from an admiring [From.GetFirstName]! My own [GetFromRelation] [From.GetFirstName]?!;;;;;;;;;x 
EVTOPTA_WOL_210;How romantic!;;;;;;;;;x 
EVTOPTB_WOL_210;How perverted... and thrilling!;;;;;;;;;x 
EVTTITLE_WOL_211;Gifts of Love;;;;;;;;;x 
EVTDESC_WOL_211;I sent [From.GetFirstName] a beautiful necklace and had her room covered with wildflowers. The gambit seems to have paid off, for I found a magnificent new saddle with her embossed seal in the stables today!;;;;;;;;;x 
EVTDESC_WOL_211_M;I sent [From.GetFirstName] a magnificent sword as a gift. It seems to have warmed his heart, for he sent me a matching dagger back!;;;;;;;;;x 
EVTOPTA_WOL_211;Pretty clear symbolism, I'd say!;;;;;;;;;x 
EVTOPTB_WOL_211;I'm irresistible! But I've changed my mind...;;;;;;;;;x 
EVTDESC_WOL_212;I sent [From.GetFirstName] a beautiful necklace and covered her room with wildflowers, but I've heard nothing back from her...;;;;;;;;;x 
EVTDESC_WOL_212_M;I sent [From.GetFirstName] a magnificent sword as a gift, but all I got in return was silence.;;;;;;;;;x 
EVTOPTA_WOL_212;It could have been worse!;;;;;;;;;x 
EVTOPTB_WOL_212;This is going nowhere.;;;;;;;;;x 
EVTDESC_WOL_213;I sent [From.GetFirstName] a beautiful necklace and covered her room with wildflowers... Today I found my bed full of wilted petals and a bent, rusty nail on my pillow!;;;;;;;;;x 
EVTDESC_WOL_213_M;Some time ago, I sent [From.GetFirstName] a magnificent sword as a gift. Today, I found it jammed into my loom, the weave completely ruined!;;;;;;;;;x 
EVTOPTA_WOL_213;[From.GetSubjectPronounCap] is feisty! I love a good challenge!;;;;;;;;;x 
EVTOPTB_WOL_213;That's it, I'm wasting my talents!;;;;;;;;;x 
EVTTITLE_WOL_220;Rumors of Infatuation;;;;;;;;;x 
EVTDESC_WOL_220;I didn't credit it when my maid claimed to have heard that [From.GetTitledFirstName] can't sleep because he's constantly thinking of me, but now all my friends are saying it too!;;;;;;;;;x 
EVTDESC_WOL_220_CR;The chamber maid claims to have heard rumors that [From.GetTitledFirstName] can't sleep because he's constantly thinking about me... My own [GetFromRelation], bless [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTDESC_WOL_220_M;I didn't credit it when my manservant claimed to have heard that [From.GetTitledFirstName] twists and turns at night in the grip of passionate dreams, crying out my name, but now my friends are saying it too!;;;;;;;;;x 
EVTDESC_WOL_220_CR_M;I didn't credit it when my manservant claimed to have heard that [From.GetTitledFirstName] twists and turns at night in the grip of passionate dreams, crying out my name, but now my friends are saying it too! My own [GetFromRelation], by [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTOPTA_WOL_220;How flattering!;;;;;;;;;x 
EVTOPTB_WOL_220;Unnatural! Why does this excite me?;;;;;;;;;x 
EVTTITLE_WOL_221;Conquest by Rumor;;;;;;;;;x 
EVTDESC_WOL_221;Some carefully placed words where they can easily be overheard by notorious gossips can be more effective than a love letter! [From.GetTitledFirstName] must have gotten my message, for I found a lock of hair wrapped in silk with [From.GetPossPronoun] personal seal in my chambers today.;;;;;;;;;x 
EVTOPTA_WOL_221;Hah! I shall have [From.GetObjectPronoun]!;;;;;;;;;x 
EVTOPTB_WOL_221;Unfortunately, I don't want [From.GetObjectPronoun] anymore;;;;;;;;;x 
EVTDESC_WOL_222;Some carefully placed words where they can easily be overheard by notorious gossips can be more effective than a love letter. Or so I thought, but my quarry, [From.GetTitledFirstName], has not responded in any way.;;;;;;;;;x 
EVTOPTA_WOL_222;I need another tactic.;;;;;;;;;x 
EVTOPTB_WOL_222;Time to end this endeavor!;;;;;;;;;x 
EVTDESC_WOL_223;I thought some carefully placed words where they could easily be overheard by notorious gossips would be more effective than a love letter... Well, [From.GetTitledFirstName] clearly got the message, for [From.GetSubjectPronoun] has started rumors of [From.GetPossPronoun] own about me!;;;;;;;;;x 
EVTOPTA_WOL_223;Ingenious, but I won't give up so easily!;;;;;;;;;x 
EVTOPTB_WOL_223;Me and a horse?! I've had it!;;;;;;;;;x 
EVTTITLE_WOL_300;An Informal Event;;;;;;;;;x 
EVTDESC_WOL_300;My heart beats faster as [From.GetTitledName] grabs me for another dance. The hour is getting late, but the [From.GetManWoman] is such a charmer! I must be blushing like a beetroot.;;;;;;;;;x 
EVTDESC_WOL_300_CR;My [GetFromRelation] [From.GetFirstName] has danced with me all evening. I thought [From.GetSubjectPronoun] was just being sweet, but there is a strange tension growing between us. Something sensual, forbidden... thrilling.;;;;;;;;;x 
EVTDESC_WOL_300_M;This minor event would be a dull affair, but [From.GetTitledName] just brushed her bosom against me again. Is she flirting with me..? That was definitely a wink! This is getting more interesting by the minute!;;;;;;;;;x 
EVTOPTA_WOL_300;Say something clever!;;;;;;;;;x 
EVTOPTA_WOL_300_F;Show [From.GetObjectPronoun] some cleavage...;;;;;;;;;x 
EVTOPTA_WOL_300_CR;Delicious sin! Lower my hands just a fraction...;;;;;;;;;x 
EVTOPTB_WOL_300;Give [From.GetObjectPronoun] the cold shoulder.;;;;;;;;;x 
EVTOPTB_WOL_300_MAR;I'm a married [Root.GetManWoman]! Take my leave.;;;;;;;;;x 
EVTOPTB_WOL_300_OLD;[From.GetSubjectPronounCap] is far too young for me!;;;;;;;;;x 
EVTOPTB_WOL_300_YOUNG;[From.GetSubjectPronounCap] is far too old for me!;;;;;;;;;x 
EVTOPTB_WOL_300_CR;No way [GetFromRelation]!;;;;;;;;;x 
EVTTOOLTIP_WoL_301;[This.GetFirstName]'s advances are encouraged;;;;;;;;;x 
EVTTOOLTIP_WoL_302;[This.GetFirstName]'s advances are rebuffed;;;;;;;;;x 
EVTTITLE_WOL_301;An Informal Event;;;;;;;;;x 
EVTDESC_WOL_301;I made sure to attend this minor event in [From.Capital.Capital.GetName] so I could seduce [From.GetTitledFirstName]. We've been dancing and conversing all night and [From.GetSubjectPronoun] is clearly responding to my advances...;;;;;;;;;x 
EVTDESC_WOL_301_DISTANT;I travelled all the way to the court of [From.Employer.GetTitledName] in [From.Capital.Capital.GetName] so I could meet [From.GetFirstName] at a minor celebration. We've been dancing and conversing all night and [From.GetSubjectPronoun] is clearly responding to my advances...;;;;;;;;;x 
EVTOPTA_WOL_301;Mead in my room, [From.GetMilordMilady]?;;;;;;;;;x 
EVTOPTB_WOL_301;Leave [From.GetObjectPronoun] yearning for more...;;;;;;;;;x 
EVTOPTC_WOL_301;I'm affirmed. Now I can end this.;;;;;;;;;x 
EVTTOOLTIP_WoL_303;Seek to make [This.GetObjectPronoun] my lover;;;;;;;;;x 
EVTTOOLTIP_WoL_304;Raise [This.GetPossPronoun] opinion of me;;;;;;;;;x 
EVTDESC_WOL_302;I made sure to attend a minor event in [From.Capital.Capital.GetName] in the hopes of seducing [From.GetTitledFirstName], but despite my best attempts, [From.GetSubjectPronoun] remains unimpressed.;;;;;;;;;x 
EVTOPTA_WOL_302;I need more practice;;;;;;;;;x 
EVTDESC_WOL_303;As the festivities wind down, [From.GetFirstName] takes my hands and looks into my eyes. '[From.GetMilordMilady], will you escort me to my chambers?';;;;;;;;;x 
EVTDESC_WOL_303_F;The night's merrymaking is coming to an end. [From.GetFirstName] nods towards my rather inebriated attendant. 'She won't even notice us leaving...' [From.GetSubjectPronounCap] grins lasciviously and pats me on the rump.;;;;;;;;;x 
EVTOPTA_WOL_303;Sweet temptation, yes!;;;;;;;;;x 
EVTOPTB_WOL_303;I am not that kind of [Root.GetLadLass]!;;;;;;;;;x 
EVTOPTC_WOL_303;Laugh cruelly and loudly insult [From.GetObjectPronoun]!;;;;;;;;;x 
EVTOPTC_WOL_303_F;Slap [From.GetObjectPronoun] and make a scene!;;;;;;;;;x 
EVTTOOLTIP_WoL_306;Have a memorable night!;;;;;;;;;x 
EVTDESC_WOL_304;What a night! I think I'm falling in love with [From.GetFirstName]...;;;;;;;;;x 
EVTOPTA_WOL_304;I must have [From.GetObjectPronoun]!;;;;;;;;;x 
EVTDESC_WOL_305;Just when things were really heating up, [From.GetFirstName] excused [From.GetReflexivePronoun] and left!;;;;;;;;;x 
EVTOPTA_WOL_305;What did I do?;;;;;;;;;x 
EVTDESC_WOL_306;I sure know how to cajole [From.GetMenWomen]! [From.GetFirstName] and I spent the night making sweet, illicit love in [From.GetPossPronoun] bed. I snuck off in the wee hours, leaving the court clueless... I hope!;;;;;;;;;x 
EVTDESC_WOL_306_CR;I sure know how to cajole [From.GetMenWomen]! [Root.Religion.GetRandomEvilGodNameCap] will surely claim our souls for our wicked sin, but [From.GetFirstName] and I spent the night making sweet, illicit love in [From.GetPossPronoun] bed. I snuck off in the wee hours, leaving the court clueless... I hope!;;;;;;;;;x 
EVTOPTA_WOL_306;Vidi, Vici, Veni;;;;;;;;;x 
EVTOPTA_WOL_306_CUSTOM;Love [From.GetObjectPronoun] and leave [From.GetObjectPronoun].;;;;;;;;;x 
EVTOPTB_WOL_306;Let our love grow!;;;;;;;;;x 
EVTDESC_WOL_307;As the festivities wound down, I took [From.GetFirstName] aside and suggested we retire together... I can't believe [From.GetSubjectPronoun] actually spurned me!;;;;;;;;;x 
EVTOPTA_WOL_307;The virtue is strong in this one...;;;;;;;;;x 
EVTOPTB_WOL_307;I don't have the patience for this;;;;;;;;;x 
EVTDESC_WOL_308;I thought I had [From.GetFirstName] completely entranced, but when I finally suggested we retire together, [From.GetSubjectPronoun] loudly mocked me and walked off with [From.GetPossPronoun] rather inebriated attendant, laughing cruelly!;;;;;;;;;x 
EVTOPTA_WOL_308;Hah. The prey is feisty!;;;;;;;;;x 
EVTOPTB_WOL_308;I've had it with this harridan!;;;;;;;;;x 
EVTOPTB_WOL_308_F;I've had it with this buffoon!;;;;;;;;;x 
EVTTITLE_WOL_351;A Midnight Snack;;;;;;;;;x 
EVTDESC_WOL_351;I managed to 'chance' upon [From.GetFirstName] alone in the kitchen when [From.GetSubjectPronoun] came down for [From.GetPossPronoun] usual late snack. We've talked and laughed for hours and I can tell the attraction is growing. Hoping I've read [From.GetObjectPronoun] correctly, I lean in to whisper in [From.GetPossPronoun] ear...;;;;;;;;;x 
EVTDESC_WOL_351_DISTANT;The journey to the court of [From.Employer.GetTitledName] was dreary, but I managed to 'chance' upon [From.GetFirstName] alone in the kitchen when [From.GetSubjectPronoun] came down for [From.GetPossPronoun] usual late snack. We've talked and laughed for hours and I can tell [From.GetSubjectPronoun] is attracted. Hoping I've read [From.GetObjectPronoun] correctly, I lean in to whisper in [From.GetPossPronoun] ear...;;;;;;;;;x 
EVTOPTA_WOL_351;Confess my love;;;;;;;;;x 
EVTOPTB_WOL_351;Make a lewd suggestion;;;;;;;;;x 
EVTOPTC_WOL_351;Quote love poetry;;;;;;;;;x 
EVTOPTD_WOL_351;Brush my lips against [From.GetPossPronoun] ear and breathe out softly;;;;;;;;;x 
EVTTOOLTIP_WoL_352_LOVE;Bet that [This.GetFirstName] is a naive romantic;;;;;;;;;x 
EVTTOOLTIP_WoL_352_LEWD;Bet that [This.GetFirstName] is experienced and bawdy;;;;;;;;;x 
EVTTOOLTIP_WoL_352_POET;Bet that [This.GetFirstName] will respond to poetry and learning;;;;;;;;;x 
EVTTOOLTIP_WoL_352_BREATH;Use an unfailing trick of seduction;;;;;;;;;x 
EVTDESC_WOL_352;As I snuck into the kitchen for my usual night snack, I chanced upon [From.GetTitledFirstNameNoRegnal]. We've been chatting and laughing for hours now, but the words have grown softer and our hands are touching... Suddenly, [From.GetSubjectPronoun] leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_352_DISTANT;As I snuck into the kitchen for my usual night snack, I chanced upon our distant guest, [From.GetTitledFirstName]. We've been chatting and laughing for hours now, but the words have grown softer and our hands are touching... Suddenly, [From.GetSubjectPronoun] leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_352_HOMO;As I snuck into the kitchen for my usual night snack, I chanced upon [From.GetTitledFirstNameNoRegnal]. We've been chatting and laughing for hours now, but there is a strange tension growing between us. Attraction? For another [From.GetManWoman]..?! As we are about to leave, [From.GetSubjectPronoun] suddenly leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_352_CR;As I snuck into the kitchen for my usual night snack, I chanced upon my [GetFromRelation] [From.GetFirstName]. We've been chatting and laughing for hours now, but there is a strange tension growing between us. Attraction? For my own [GetFromRelation]..?! As we are about to leave, [From.GetSubjectPronoun] suddenly leans in and whispers softly in my ear...;;;;;;;;;x 
EVTOPTA_WOL_352_POET;Such learning! I cannot resist poetry...;;;;;;;;;x 
EVTOPTA_WOL_352_LEWD;Such a dirty mind, [From.GetFirstName]! Come then, let's commit a few sins...;;;;;;;;;x 
EVTOPTA_WOL_352_LOVE;Such sweet words of love! How can my heart resist?;;;;;;;;;x 
EVTOPTA_WOL_352_BREATH;[From.GetPossPronounCap] hot breath sends lightning through my body!;;;;;;;;;x 
EVTTOOLTIP_WoL_306_2;Follow [This.GetFirstName] to bed...;;;;;;;;;x 
EVTOPTB_WOL_352_POET;Poetry? I care nothing for such nonsense!;;;;;;;;;x 
EVTOPTB_WOL_352_LEWD;How rude! I didn't even know such lewd words existed!;;;;;;;;;x 
EVTOPTB_WOL_352_LOVE;A confession of love? Such childish nonsense!;;;;;;;;;x 
EVTOPTB_WOL_352_BREATH;Desire overwhelms me, but I must be strong!;;;;;;;;;x 
EVTDESC_WOL_353;[From.GetFirstName] backed away from me, blushing and stammering something about being sorry before rushing off.;;;;;;;;;x 
EVTDESC_WOL_353_CR;[From.GetFirstName] jerked away from me with a look of shock and disgust, exclaiming '[Root.GetFirstName], I am your [GetFromRelation] for [From.Religion.GetRandomGodName]'s sake!';;;;;;;;;x 
EVTDESC_WOL_353_OLD_M;[From.GetFirstName] jerked away from me with a shocked expression, exclaiming '[Root.GetTitledFirstNameNoRegnal]! You are old enough to be my father!' Then [From.GetSubjectPronoun] ran off giggling.;;;;;;;;;x 
EVTDESC_WOL_353_OLD_F;[From.GetFirstName] jerked away from me with a shocked expression, exclaiming 'Sorry [Root.PrimaryTitle.GetRulerTitle], but you are far too old for me!' before rushing off.;;;;;;;;;x 
EVTDESC_WOL_353_YOUNG;[From.GetFirstName] slowly shook [From.GetPossPronoun] head, grinning as [From.GetSubjectPronoun] gently pushed me away. 'Sorry [Root.GetLadLass], you still have a lot to learn about [From.GetMenWomen]!';;;;;;;;;x 
EVTTITLE_WOL_401;Seduction in the Wild;;;;;;;;;x 
EVTDESC_WOL_401;I am attending a festive outing with [From.GetTitledFirstNameNoRegnal]. Unfortunately, half the court is also here and I am having trouble getting any time alone with my amorous quarry...;;;;;;;;;x 
EVTDESC_WOL_401_DISTANT;I travelled far to attend this festive outing with [From.GetTitledFirstNameNoRegnal]. Unfortunately, half the court of [From.Employer.PrimaryTitle.GetName] is also here and I am having trouble getting any time alone with my amorous quarry...;;;;;;;;;x 
EVTDESC_WOL_401_CR;I am attending a festive outing with [From.GetFirstName]. With half the court around as chaperones, it would normally be hard to spend any time alone with the target of my affection, but [From.GetFirstName] is my [GetFromRelation], so I should be above suspicion...;;;;;;;;;x 
EVTDESC_WOL_401_HOMO;I am attending a festive outing with [From.GetFirstName]. With half the court around as chaperones, it would normally be hard to spend any time alone with the target of my affection, but [From.GetFirstName] is another [Root.GetManWoman], so it should not arouse suspicion...;;;;;;;;;x 
EVTOPTA_WOL_401;Seek an ally among [From.GetPossPronoun] friends;;;;;;;;;x 
EVTOPTB_WOL_401;Leave [From.GetObjectPronoun] a note to meet me by the stream;;;;;;;;;x 
EVTOPTC_WOL_401;Take a long walk alone with [From.GetObjectPronoun];;;;;;;;;x 
EVTOPTD_WOL_401;Flirt with [From.GetObjectPronoun] discretely;;;;;;;;;x 
EVTDESC_WOL_403;I found [From.GetBestName] sympathetic to my romantic cause. [From.GetSubjectPronounCap] and [FromFromFrom.GetFirstName] 'chanced' upon me by a nearby stream and the three of us have had a great time. I can tell [FromFromFrom.GetSubjectPronoun] is falling for me, for [FromFromFrom.GetSubjectPronoun] barely noticed [FromFromFrom.GetPossPronoun] friend leaving. I lean in to whisper in [FromFromFrom.GetPossPronoun] ear...;;;;;;;;;x 
EVTDESC_WOL_404;At a festive outing in the wild, I found myself alone with [From.GetTitledFirstNameNoRegnal] by a stream, all my friends and servants seemingly having deserted me. Hours must have passed while I laughed and talked with the captivating [From.GetTitledFirstNameNoRegnal]. Suddenly, [From.GetSubjectPronoun] leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_404_DISTANT;At a festive outing in the wild, I found myself alone by a stream with our distant visitor, [From.GetTitledFirstName]. My friends and servants all seem to have deserted me. Hours must have passed while I laughed and talked with the captivating [From.GetTitledFirstNameNoRegnal]. Suddenly, [From.GetSubjectPronoun] leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_404_HOMO;At a festive outing in the wild, [From.GetTitledFirstName] and I left the main party and walked down to a nearby stream, chatting amicably. Hours later, sitting on a cliff together watching the water flow, a strange tension has grown between us. Attraction? For another [From.GetManWoman]..?! As we get up to leave, [From.GetSubjectPronoun] suddenly leans in and whispers softly in my ear...;;;;;;;;;x 
EVTDESC_WOL_404_CR;At a festive outing in the wild, my [GetFromRelation] [From.GetFirstName] and I left the main party and walked down to a nearby stream. Sitting close together on the cliffs, gossip and familial advice has turned into something else... Desire? For my own [GetFromRelation]..?! Suddenly, [From.GetSubjectPronoun] puts a hand on my thigh, leans over and whispers in my ear...;;;;;;;;;x 
EVTTOOLTIP_WoL_405;Follow [This.GetObjectPronoun] into the warm water...;;;;;;;;;x 
EVTDESC_WOL_405;[From.GetFirstName] and I spent a long time making love in the water and on the warm cliffs above. When we returned to the main party in the evening, grinning and squeaky clean, we found they'd been looking for us. Attendants came rushing and more than a few eyebrows were raised in speculation...;;;;;;;;;x 
