#CODE;ENGLISH;;;;;;;;;x 
#MODIFIER_COMBAT_RATING;Combat Rating;;;;;;;;;x 
CR_DIFF_LOWER_THAN;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
EVTDESC_WOL_2113;My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, managed to slay the [GetRootFromInsult] in [From.GetPossPronoun] bed. Unfortunately, he was captured trying to escape. My complicity is known!;;;;;;;;;x 
EVTOPTA_WOL_2113;It was worth it!;;;;;;;;;x 
EVTDESC_WOL_2114;In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Shamefacedly, he recounts how they stabbed [From.GetTitledFirstName] in [From.GetPossPronoun] bed, and how [From.GetSubjectPronoun] somehow managed to get away. I pat him on the shoulder and tell him it's alright.;;;;;;;;;x 
EVTDESC_WOL_2115;My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, only managed to wound the [GetRootFromInsult]. Worse, he was captured trying to escape. My complicity is known!;;;;;;;;;x 
EVTOPTA_WOL_2115;I hope [From.GetSubjectPronoun] dies from infection!;;;;;;;;;x 
EVTDESC_WOL_2116;In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Shamefacedly, he recounts how they attacked [From.GetTitledFirstName] in [From.GetPossPronoun] bed, but how [From.GetSubjectPronoun] managed to break free and get away. I pat him on the shoulder and tell him it's alright.;;;;;;;;;x 
EVTDESC_WOL_2117;My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, completely botched the attack on the [GetRootFromInsult]. Worse, he was captured trying to escape. My complicity is known!;;;;;;;;;x 
EVTOPTA_WOL_2117;Incompetent bungler! I should have done it myself.;;;;;;;;;x 
EVTDESC_WOL_2120;I have learned from my little birds that [FromFromFrom.GetTitledFirstNameNoRegnal] plans to travel the realm incognito for a lark, mingling with the common folk. [FromFromFrom.GetSubjectPronounCap] will only be protected by two loyal friends during this little adventure - a great opportunity to have [FromFromFrom.GetObjectPronoun] abducted, if I so wished.;;;;;;;;;x 
EVTOPTA_WOL_2120;Ah yes. It would suit my purposes marvellously!;;;;;;;;;x 
EVTOPTB_WOL_2120;No, I have no reason to do that.;;;;;;;;;x 
EVTTOOLTIP_WOL_2121;Some thugs are hired, with orders to bring me [FromFromFrom.GetTitledFirstNameNoRegnal] alive.;;;;;;;;;x 
EVTDESC_WOL_2121;On a lark, I decided to travel among the common folk incognito with but a friend, a servant and a bodyguard. As we ride through a forest, an arrow suddenly sprouts from the neck of my trusty guard! Shouting a warning, I ride like crazy to get away...;;;;;;;;;x 
EVTOPT_WOL_2121_CAUGHT;...but we are surrounded! No bandits, but the agents of [From.GetTitledName].;;;;;;;;;x 
EVTOPT_WOL_2121;...and manage to outdistance the bandits! Amateurs.;;;;;;;;;x 
EVTDESC_WOL_2122;My hired thugs managed to waylay [From.GetTitledFirstNameNoRegnal] and brought [From.GetObjectPronoun] to me in a sack!;;;;;;;;;x 
EVTDESC_WOL_2123;The thugs I hired failed to capture [From.GetTitledFirstNameNoRegnal], though apparently they slew a guard and a servant in the attempt.;;;;;;;;;x 
EVTOPTA_WOL_2123;Morons! You can't find good help these days...;;;;;;;;;x 
EVTDESC_WOL_2200;I have decided to free [From.GetTitledName] from the dungeons of [From.Host.GetTitledName]. It will take time - and likely some gold - but [From.GetFirstName] deserves a better fate!;;;;;;;;;x 
EVTOPTA_WOL_2200;I'll probably need an agent in [From.Host.Capital.Capital.GetName]...;;;;;;;;;x 
EVTDESC_WOL_2201;I have decided to liberate my beloved [GetFromRelation] [From.GetFirstName] from the filthy paws of her abductor, [From.Employer.GetTitledName]. It will take time - and likely some gold - but [From.GetFirstName] deserves a better fate!;;;;;;;;;x 
EVTDESC_WOL_2211;[target_captive.GetTitledFirstName] has tragically died in captivity before I had a chance to break [target_captive.GetObjectPronoun] out.;;;;;;;;;x 
EVTOPTA_WOL_2211;Well, it was worth a shot!;;;;;;;;;x 
EVTDESC_WOL_2212;[target_captive.GetTitledFirstName] has tragically fallen comatose, making my endeavour to free [target_captive.GetObjectPronoun] rather pointless.;;;;;;;;;x 
EVTDESC_WOL_2213;[target_captive.GetTitledFirstName] is no longer a prisoner, so I can abort my plans to free [target_captive.GetObjectPronoun].;;;;;;;;;x 
EVTDESC_WOL_2221;I've approached [From.GetBestName] at the court of [From.Employer.GetTitledName] with my plan to liberate [target_captive.GetTitledFirstName]. [From.GetFirstName] is sympathetic and might be persuaded to take the risk...;;;;;;;;;x 
EVTOPTA_WOL_2221;Put the plan in motion!;;;;;;;;;x 
EVTOPTB_WOL_2221;Bribe [From.GetFirstName] and go ahead with the plan.;;;;;;;;;x 
EVTOPTC_WOL_2221;Seduce [From.GetFirstName] and go ahead with the plan.;;;;;;;;;x 
EVTOPTD_WOL_2221;I've changed my mind. Abort the whole scheme.;;;;;;;;;x 
EVTDESC_WOL_2223;I woke from my troubled sleep with a start. Was that a thud outside my cell? Keys rattle in the lock and the door opens to a thin beam of light. It's [From.GetBestName]! 'Come with me quickly [Root.GetLordLady]! [FromFrom.GetTitledFirstNameNoRegnal] has hired me to help you escape!';;;;;;;;;x 
EVTOPTA_WOL_2223;Freedom!;;;;;;;;;x 
EVTDESC_WOL_2224;I received some bad news this morning. My prisoner, [From.GetBestName] escaped from [From.GetPossPronoun] cell in the night. [From.GetSubjectPronounCap] had outside help - one of the guards might never wake from the blow to his head...;;;;;;;;;x 
EVTDESC_WOL_2224_CONSORT;My concubine [From.GetBestName] has fled! She climbed out of her tower room window, probably with outside assistance, because my guards were completely unable to locate her before she escaped my realm.;;;;;;;;;x 
EVTOPTA_WOL_2224;[FromFromFrom.GetTitledName] was surely behind this!;;;;;;;;;x 
EVTDESC_WOL_2225;Good news! [From.GetBestName] was successfully sprung from captivity by the daring [FromFrom.GetBestName] and is safely back in [Root.Capital.Capital.GetName]!;;;;;;;;;x 
EVTDESC_WOL_2226;I woke from my troubled sleep with a start. Was that a thud outside my cell? Keys rattle in the lock and the door opens to a bright light. It's that ogre of a gaoler. 'This blighter attempted your rescue', he growls, and holds up a comatose [From.GetManWoman] like a ragdoll. '[Root.Host.GetTitledFirstNameNoRegnal] won't be too pleased, now will [Root.Host.GetSubjectPronoun]!?';;;;;;;;;x 
EVTOPTA_WOL_2226;Poor [From.GetManWoman]... was that [From.GetBestName]?;;;;;;;;;x 
EVTDESC_WOL_2227;The prison guards foiled an escape attempt last night. My treacherous [GetFromFromRelation] [FromFrom.GetBestName] was captured trying to free [From.GetTitledName] from [From.GetPossPronoun] cell!;;;;;;;;;x 
EVTDESC_WOL_2227_CONSORT;My [GetFromRelation] [From.GetFirstName] was almost abducted last night. The treacherous [FromFrom.GetBestName] attempted to 'rescue' her by climbing in through the window, but slipped and fell! When questioned, the concussed [FromFrom.GetFirstName] admitted that [FromFromFrom.GetTitledName] was behind this chivalrous idiocy.;;;;;;;;;x 
EVTOPTA_WOL_2227;The dungeon is not secure enough. Throw [From.GetFirstName] in the oubliette!;;;;;;;;;x 
EVTOPTB_WOL_2227;Tighten security!;;;;;;;;;x 
EVTDESC_WOL_2228;The [GetRootFromInsult] [From.GetTitledFirstNameNoRegnal] had me thrown me in the oubliette to make sure I don't escape!;;;;;;;;;x 
EVTOPTA_WOL_2228;I will die here...;;;;;;;;;x 
EVTDESC_WOL_2229;Bad news... [FromFrom.GetBestName] failed to free [From.GetBestName] from [From.GetPossPronoun] captivity and was imprisoned [FromFrom.GetReflexivePronoun]!;;;;;;;;;x 
EVTOPTA_WOL_2229;Damnation! Security will be too tight now.;;;;;;;;;x 
EVTDESC_WOL_2300;I watched from the shadows as my spymaster, [Root.job_spymaster.GetTitledFirstNameNoRegnal], surreptitiously marked a spot on the wall with a piece of chalk. This might just be [Root.job_spymaster.GetPossPronoun] normal skulduggery, but my intuition says not...;;;;;;;;;x 
EVTOPTA_WOL_2300;Time to spy on the spy;;;;;;;;;x 
EVTDESC_WOL_2302;Eavesdropping from a secret passage in the walls, I overheard my faithless spymaster [Root.job_spymaster.GetFirstName] talking to another conspirator. They are plotting to [From.GetPlot]!;;;;;;;;;x 
EVTOPTA_WOL_2302;Arrest [Root.job_spymaster.GetTitledFirstNameNoRegnal] immediately!;;;;;;;;;x 
EVTOPTB_WOL_2302;Hold off. I will deal with this later.;;;;;;;;;x 
EVTDESC_WOL_2303;My snooping [GetFromRelation], [From.GetTitledFirstName], apparently overheard me plotting murder and did not take kindly to my plans. I have been arrested!;;;;;;;;;x 
EVTDESC_WOL_2304;Over the last week, I have observed my spymaster [Root.job_spymaster.GetFirstName] carefully and found nothing further to arouse my suspicion. Perhaps I'll just have to accept that odd behaviour goes with the job...;;;;;;;;;x 
EVTOPTA_WOL_2304;I have more important things to do;;;;;;;;;x 
EVTOPTB_WOL_2304;I can't take any chances. Have [Root.job_spymaster.GetObjectPronoun] replaced.;;;;;;;;;x 
EVTDESC_WOL_2305;I have noticed my [GetFromRelation] [From.GetTitledFirstName] clumsily spying on me lately. It probably has something to do with [From.GetPossPronoun] unhealthy obsession with intrigue and an overly suspicious mind. I should be careful.;;;;;;;;;x 
EVTOPTA_WOL_2305;Lead [From.GetObjectPronoun] a merry chase!;;;;;;;;;x 
EVTDESC_WOL_3002;I would do anything for the family, but it is hard work cultivating loyalty and devotion not just towards me, but between all the disparate members of our great House. When I'm gone, the harmony and stability I leave behind will be my greatest legacy.;;;;;;;;;x 
EVTOPTA_WOL_3002;Hear me roar!;;;;;;;;;x 
EVTDESC_WOL_3003;House [Root.GetOnlyDynastyName] stands firm on the rock of its proud [Root.GetPatriarchMatriarch] - [Root.GetTitledFirstNameNoRegnal]!;;;;;;;;;x 
#EVTOPTA_WOL_3003;I shall be like a lion, proud and admired;;;;;;;;;x 
#EVTOPTB_WOL_3003;I shall be like a falcon, fierce but protective of its brood;;;;;;;;;x 
EVTOPTC_WOL_3003;No, I seek another lifestyle;;;;;;;;;x 
EVTDESC_WOL_3010;I have been spending more time with my [target_spouse.GetHusbandWife] [target_spouse.GetFirstName] lately, and though of course we did not marry for love, I can tell it is growing between us.;;;;;;;;;x 
EVTOPTA_WOL_3010;Ah, marital bliss!;;;;;;;;;x 
EVTDESC_WOL_3022;I have been making an effort to spend more time with my [GetFromRelation] [From.GetFirstName] lately. We have not always seen eye to eye, but as [From.GetPossPronoun] liege, it is especially important to foster loyalty and respect.;;;;;;;;;x 
EVTDESC_WOL_3022_CHILD;My little [GetFromRelation] [From.GetFirstName] adores me, and I love playing with [From.GetObjectPronoun]. It is important to lay the groundwork for our future relations...;;;;;;;;;x 
EVTDESC_WOL_3022_ABROAD;I have been corresponding regularly with my [GetFromRelation] [From.GetFirstName], and always make sure to see [From.GetObjectPronoun] whenever I get the chance. It's a harsh world and family must stick together.;;;;;;;;;x 
EVTOPTA_WOL_3022;Family first!;;;;;;;;;x 
EVTDESC_WOL_3032;My [GetFromRelation] [From.GetFirstName], the [GetRootFromCompliment] [From.GetManWoman], can always rely on me for aid. I try to help out whenever and however I can, out of respect, if not love.;;;;;;;;;x 
EVTDESC_WOL_3042;It is hard to find the time, but whenever I can, I try to spend some time with my [GetFromRelation] [From.GetFirstName]. [From.GetSubjectPronounCap] must be made to see how important family is, and to honor and love [From.GetPossPronoun] parents!;;;;;;;;;x 
EVTDESC_WOL_3042_CHILD;As a reigning [Root.PrimaryTitle.GetRulerTitle], I rarely have any spare time, but for my little [GetFromRelation] [From.GetFirstName] I would move heaven and earth!;;;;;;;;;x 
EVTDESC_WOL_3042_ABROAD;I have been corresponding regularly with my [GetFromRelation] [From.GetFirstName], and always make sure to see [From.GetObjectPronoun] whenever I get the chance to give sage advice and remind [From.GetObjectPronoun] of [From.GetPossPronoun] duties.;;;;;;;;;x 
EVTDESC_WOL_3050;I have noticed that [target_first.GetTitledFirstNameNoRegnal] and [target_second.GetTitledFirstNameNoRegnal] are not on the best of terms - a situation I hope to remedy! I have invited them both for some quality family time in [Root.Capital.Capital.GetName].;;;;;;;;;x 
EVTDESC_WOL_3051;My [GetFromRelation], [From.GetTitledFirstNameNoRegnal], has asked me to spend some quality family time in [From.Capital.Capital.GetName]. I am sure the idea is for me to become better friends with [target_second.GetTitledName].;;;;;;;;;x 
EVTOPTA_WOL_3051;That sounds nice!;;;;;;;;;x 
EVTOPTB_WOL_3051;What idiocy! I think not.;;;;;;;;;x 
EVTDESC_WOL_3053;My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused my suggestion. There will be no reconciliation with [target_second.GetTitledName].;;;;;;;;;x 
EVTOPTA_WOL_3053;How foolish!;;;;;;;;;x 
EVTDESC_WOL_3054;My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused my suggestion. There will be no reconciliation with [target_first.GetTitledName].;;;;;;;;;x 
EVTDESC_WOL_3055;My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused [target_initiator.GetTitledFirstNameNoRegnal]'s invitation for us all to spend some time together in [target_initiator.Capital.Capital.GetName]...;;;;;;;;;x 
EVTOPTA_WOL_3055;How silly of [From.GetObjectPronoun]!;;;;;;;;;x 
EVTDESC_WOL_3056;[From.GetTitledFirstNameNoRegnal], [target_initiator.GetFirstName] and I had a great time together! I feel we have really strengthened our family bonds.;;;;;;;;;x 
EVTOPTA_WOL_3056;We should do it again some time.;;;;;;;;;x 
EVTDESC_WOL_3057;[From.GetFirstName], [FromFrom.GetFirstName] and I had the greatest time together! I am sure they like each other better now.;;;;;;;;;x 
EVTDESC_WOL_3060;Constant fights and vicious pranks - my two children [target_second.GetFirstName] and [target_first.GetFirstName] just could never seem to get along, but my efforts to instill mutual love and respect have finally born fruit. This friendship will serve them well when I'm gone...;;;;;;;;;x 
EVTOPTA_WOL_3060;Who can you trust, if not your siblings?;;;;;;;;;x 
EVTDESC6020_PARA;They are all watching me, conspiring... even my closest friends. Dark eyes, cold eyes... evil eyes.;;;;;;;;;x 
EVTOPTA6020_PARA;What do they want?!;;;;;;;;;x 
EVTDESC6020_FEVER;The fever has broken - perhaps only temporarily - but I can still see the shadowy figures lurking in the corners. Are they real?;;;;;;;;;x 
EVTOPTA6020_FEVER;Who are they?!;;;;;;;;;x 
EVTDESC6020_ZEAL;The dark stain of heresy has infected everyone around me. [Root.Religion.GetRandomEvilGodNameCap] is winning the war for humanity's souls. No one is pure... except me.;;;;;;;;;x 
EVTOPTA6020_ZEAL;They must all be cleansed!;;;;;;;;;x 
EVTDESC6020_PRISON;There are things in the walls. Things... Not rats, oh no! Not vermin at all... but scratching, watching, trying to drive me insane!;;;;;;;;;x 
EVTOPTA6020_PRISON;I must get out of this hellhole!;;;;;;;;;x 
EVTDESC6020_COMA;I awoke from my unending nightmare screaming. I have been in the abyss, an indescribable darkness. How long have I been asleep? Weeks, years?!;;;;;;;;;x 
EVTOPTA6020_COMA;The darkness... it's still here!;;;;;;;;;x 
IS_PLOT_KNOWN_BY;Plot is known;;;;;;;;;x 
IS_NOT_PLOT_KNOWN_BY;Plot is NOT known;;;;;;;;;x 
NOR_TRIGGER_STARTS;None of these must be true;;;;;;;;;x 
PATRIARCH;patriarch;;;;;;;;;x 
MATRIARCH;matriarch;;;;;;;;;x 
decision_break_free;Free from Captivity;;;;;;;;;x 
decision_break_free_desc;Work to free §Y[This.GetTitledFirstName]§! from captivity through intrigue. Might take a long time. Requires the §YIntrigue Focus§!.;;;;;;;;;x 
decision_spy_on;Spy On;;;;;;;;;x 
decision_spy_on_desc;Keep an eye on §Y[This.GetTitledName]§! in the hopes of uncovering [This.GetPossPronoun] darkest secrets. Might allow you to blackmail, level treason charges against, or even murder [This.GetObjectPronoun]. Requires the §YIntrigue Focus§!.;;;;;;;;;x 
opinion_declined_romance;Declined Romance;;;;;;;;;x 
opinion_charge_heresiarch;Charge: Heresiarch;;;;;;;;;x 
opinion_charge_infidel;Charge: Infidel Preacher;;;;;;;;;x 
opinion_charge_deviant;Charge: Deviant;;;;;;;;;x 
opinion_charge_traitor;Charge: Traitor;;;;;;;;;x 
opinion_charge_illegitimate;Charge: Illegitimate;;;;;;;;;x 
opinion_charge_slanderer;Charge: Slanderer;;;;;;;;;x 
opinion_slandered;Slandered;;;;;;;;;x 
opinion_spy_blackmailed;Blackmailed;;;;;;;;;x 
opinion_dominated;Dominated;;;;;;;;;x 
opinion_marital_love;Love;;;;;;;;;x 
opinion_family_love;Love;;;;;;;;;x 
failed_escape;Failed Escape;;;;;;;;;x 
attempted_murder_of_parent;Attempted Murder of Parent;;;;;;;;;x 
attempted_murder_of_sibling;Attempted Murder of Sibling;;;;;;;;;x 
vicious_rumors;Vicious Rumors;;;;;;;;;x 
desc_vicious_rumors;There are all kinds of foul rumors about this character, most likely started by some rival or enemy.;;;;;;;;;x 
known_murderer;Known Murderer;;;;;;;;;x 
desc_known_murderer;This character has been exposed as a murderer, vehement denials notwithstanding.;;;;;;;;;x 
focus_intrigue_desc;[This.GetTitledFirstName] seeks to become a better schemer, spending most of [This.GetPossPronoun] time engrossed in court intrigue.\nThis Focus unlocks the §YSpy On§! and §YFree from Captivity§! options vs suitable targets.;;;;;;;;;x 
opinion_spying_on;Spying On;;;;;;;;;x 
opinion_breaking_out;Breaking Out;;;;;;;;;x 
ANY_OPINION_TARGET_STARTS;Any Opinion Target;;;;;;;;;x 
hunting_white_stag;The white stag eludes me...;;;;;;;;;x 
hunting_white_bear;The white bear eludes me...;;;;;;;;;x 
hunting_white_tiger;The white tiger eludes me...;;;;;;;;;x 
hunting_white_lion;The white lion eludes me...;;;;;;;;;x 
potion_unforeseen_effects;This might have unforeseen effects...;;;;;;;;;x 
cottage_person_dies;You kill the treacherous vagrant!;;;;;;;;;x 
nick_the_pilgrim;the Pilgrim;;;;;;;;;x 
nick_the_shadow;the Shadow;;;;;;;;;x 
nick_the_whisperer;the Whisperer;;;;;;;;;x 
nick_the_spider;the Spider;;;;;;;;;x 
nick_of_the_wilds;of the Wilds;;;;;;;;;x 
nick_the_impaler;the Impaler;;;;;;;;;x 
nick_the_viking;the Viking;;;;;;;;;x 
nick_the_decadent;the Decadent;;;;;;;;;x 
nick_bloodaxe;Bloodaxe;;;;;;;;;x 
nick_the_sword_of_god;the Sword of [Root.Religion.GetRandomGodName];;;;;;;;;x 
nick_the_culture;the [Root.Culture.GetName];;;;;;;;;x 
nick_the_rel_group;the [Root.Religion.GetGroupName];;;;;;;;;x 
ARMY_LEVIES_DESC;The total amount of levies in the realm.;;;;;;;;;x 
RAISED;Raised;;;;;;;;;x 
UNRAISED;Unraised;;;;;;;;;x 
EVTTITLE_WoL_5001_stag;The White Stag;;;;;;;;;x 
EVTTITLE_WoL_5001_bear;The White Bear;;;;;;;;;x 
EVTTITLE_WoL_5001_tiger;The White Tiger;;;;;;;;;x 
EVTTITLE_WoL_5001_lion;The White Lion;;;;;;;;;x 
EVTDESC_WoL_5001_stag;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white stag, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;x 
EVTDESC_WoL_5001_bear;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white bear, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;x 
EVTDESC_WoL_5001_tiger;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white tiger, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;x 
EVTDESC_WoL_5001_lion;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white lion, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;x 
EVTOPTA_WoL_5001;I must send people out to find it!;;;;;;;;;x 
EVTOPTB_WoL_5001;I have no time for dreams and rumors.;;;;;;;;;x 
EVTDESC_WoL_5004_stag;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white stag in the province of [From.GetName].;;;;;;;;;x 
EVTDESC_WoL_5004_bear;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white bear in the province of [From.GetName].;;;;;;;;;x 
EVTDESC_WoL_5004_tiger;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white tiger in the province of [From.GetName].;;;;;;;;;x 
EVTDESC_WoL_5004_lion;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white lion in the province of [From.GetName].;;;;;;;;;x 
EVTOPTA_WoL_5004;Saddle my horse!;;;;;;;;;x 
EVTOPTB_WoL_5004;I don't have the time now.;;;;;;;;;x 
EVTTITLE_WoL_5007_stag;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white stag! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;x 
EVTTITLE_WoL_5007_bear;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white bear! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;x 
EVTTITLE_WoL_5007_tiger;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white tiger! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;x 
EVTTITLE_WoL_5007_lion;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white lion! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;x 
EVTDESC_WoL_5010_stag;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white stag.;;;;;;;;;x 
EVTDESC_WoL_5010_bear;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white bear.;;;;;;;;;x 
EVTDESC_WoL_5010_tiger;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white tiger.;;;;;;;;;x 
EVTDESC_WoL_5010_lion;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white lion.;;;;;;;;;x 
EVTOPTA_WoL_5010;An epic hunt it shall be!;;;;;;;;;x 
EVTOPTB_WoL_5010;This time it will not escape me!;;;;;;;;;x 
EVTDESC_WoL_5030_stag;After many days of hard hunting and tracking, you have finally managed to trap the white stag in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;x 
EVTDESC_WoL_5030_bear;After many days of hard hunting and tracking, you have finally managed to trap the white bear in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;x 
EVTDESC_WoL_5030_tiger;After many days of hard hunting and tracking, you have finally managed to trap the white tiger in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;x 
EVTDESC_WoL_5030_lion;After many days of hard hunting and tracking, you have finally managed to trap the white lion in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;x 
EVTOPTA_WoL_5030;Its head will adorn my wall!;;;;;;;;;x 
EVTOPTB_WoL_5030;I cannot slay such a noble animal.;;;;;;;;;x 
EVTDESC_WoL_5035_stag;During your hunt, you come to a deep gorge. Right on the other side is the white stag, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;x 
EVTDESC_WoL_5035_bear;During your hunt, you come to a deep gorge. Right on the other side is the white bear, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;x 
EVTDESC_WoL_5035_tiger;During your hunt, you come to a deep gorge. Right on the other side is the white tiger, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;x 
EVTDESC_WoL_5035_lion;During your hunt, you come to a deep gorge. Right on the other side is the white lion, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;x 
EVTOPTA_WoL_5035;Now I know my purpose in life!;;;;;;;;;x 
EVTOPTB_WoL_5035;I'm sure I'll catch it someday.;;;;;;;;;x 
EVTDESC_WoL_5040;Scouring the countryside for your prey, you come upon a lone rider. As you strike up conversation, it turns out he also hunts the same great animal that you are after. His lack of success thus far seems to match yours, but he invites you to talk and share experiences.;;;;;;;;;x 
EVTOPTA_WoL_5040;Please join me at my court!;;;;;;;;;x 
EVTOPTB_WoL_5040;It's better to hunt alone.;;;;;;;;;x 
EVTOPTC_WoL_5040;A rival - he must die!;;;;;;;;;x 
EVTDESC_WoL_5045;You spend weeks in the wilderness searching for any trace of your prey, but to no avail. You find plenty of bugs, snakes and riding sores, however.;;;;;;;;;x 
EVTOPTA_WoL_5045;This is pointless...;;;;;;;;;x 
EVTDESC_WoL_5050;You spend weeks in the wilderness searching for any trace of your prey, but to no avail. However, you find that you rather enjoy being out in the wilds. All this daily physical activity, it makes you feel... stronger.;;;;;;;;;x 
EVTOPTA_WoL_5050;This is great!;;;;;;;;;x 
EVTDESC_WoL_5055;You spend weeks in the wilderness searching for any trace of your prey, but are forced to return emptyhanded. You are sure that no one's impressed by your failed adventure.;;;;;;;;;x 
EVTOPTA_WoL_5055;It's my own failure.;;;;;;;;;x 
EVTOPTB_WoL_5055;It's because my retainers are useless!;;;;;;;;;x 
EVTDESC_WoL_5060;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, an old crone opens. When she sees you and your hunting party, she cackles eerily and says that she has a powerful potion that will make you a stronger hunter, sure to catch any prey.;;;;;;;;;x 
EVTOPTA_WoL_5060;Sell it to me!;;;;;;;;;x 
EVTOPTB_WoL_5060;No, let's go home, this is fruitless.;;;;;;;;;x 
EVTDESC_WoL_5061_good;You drink the potion down. Soon, you start to feel all warm inside. The crone whispers: 'See? You know that this will make you stronger, I can see it in your eyes! Now go, great hunter!'.\n\nYou return home, certain in your belief that next time you will find your prey...;;;;;;;;;x 
EVTDESC_WoL_5061_bad;You drink the potion down. Soon, you start to feel all queasy, and then you pass out. As you awake, you have a strong headache and no desire to continue your hunting expedition. The old crone has disappeared, your guards don't seem to know how or where to.;;;;;;;;;x 
EVTOPTA_WoL_5061;I don't feel well...;;;;;;;;;x 
EVTOPTC_WoL_5061;This feels good...;;;;;;;;;x 
EVTDESC_WoL_5062;You have returned to your court. The hunt for this elusive white beast seems fruitless, but there are many more things out there in the wilds. Maybe next time you will catch your prey...;;;;;;;;;x 
EVTOPTA_WoL_5062;I won't give up.;;;;;;;;;x 
EVTDESC_WoL_5065_female_lover;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a beautiful young woman opens. She pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?';;;;;;;;;x 
EVTDESC_WoL_5065_male_lover;Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a handsome young man opens. He pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?';;;;;;;;;x 
